#  id  gal_type   ra          dec       redshift  log_luminosity  color      radius     b_over_a   pos_angle   bulge_fract   sersic_n    r_bulge     r_disk
    2     4    157.05886    42.96805     0.04496     9.98626     0.54598     6.39827     0.17906    57.42190     0.06485     1.30600     5.81586     6.37754
    6     4    129.89352    25.47709     0.02918     9.96684     0.53171     4.86181     0.93007   -29.24130     0.11893     1.00000     1.09123     5.33112
    7     4    192.88862    26.76983     0.04561    10.22729     0.68002     7.24744     0.61682   -48.55630     0.11306     1.54460     1.58634     8.18503
    9     2    257.95754    57.11093     0.03028    10.40243     0.48439     3.94840     0.51641   -43.54110     0.56902     2.72450     3.06734     5.38915
   16     1    182.35628    46.54936     0.06909    10.82827     0.47607     9.32379     0.93203    49.65370     0.85496     7.17250    10.18022     7.76279
   17     1    117.39779    30.41663     0.05972    11.12102     0.46233    16.40161     0.55355   -55.54750     0.61926     4.00800    14.44476    17.40924
   18     4    203.95819    34.99895     0.02504    10.69635     0.59166     6.78621     0.60449    59.44100     0.22573     2.29400     1.25619     8.58687
   20     4    126.59003    20.27051     0.02525    10.08636     0.57895     7.24737     0.19434    14.98560     0.11024     1.28070     3.07069     7.86292
   22     4    203.19634    38.08978     0.05287    10.45047     0.65376     8.01966     0.60370    13.16120     0.33433     1.00000     6.08899     9.33813
   23     4    121.70082    53.19962     0.05040    10.41617     0.55805    11.14246     0.33056   -89.41470     0.02463     1.13500     2.13831    11.41330
   26     4    226.43166    44.40490     0.02832    10.31949     0.53841     5.16548     0.23714    51.50650     0.76154     1.83300     4.16799     8.52808
   28     4    143.01020    48.55109     0.01626     9.29685     0.66875     3.95071     0.42491   -31.64440     0.24179     1.00000     1.36894     4.87096
   30     1    203.78531    42.64720     0.06085    10.96245     0.43220    14.74910     0.56979   -68.55180     0.55187     3.42740     5.45285    28.79127
   31     1    164.68254    22.01137     0.09078    10.94200     0.42269    12.19649     0.71675    24.11550     0.64521     4.53320     7.31258    21.70862
   33     4    167.91904    45.35045     0.02338     9.69004     0.54217     6.13801     0.21024   -52.87840     0.43690     0.32950     7.00537     7.36814
   34     4    195.97317    47.38644     0.02366    10.22122     0.64150     4.14408     0.94533   -36.83140     0.14762     1.00000     1.54089     4.69419
   36     2    247.71804    41.28615     0.09379    10.54369     0.40294     4.26964     0.42716    -1.00190     0.82222     3.12500     2.47475    22.75557
   40     4    245.72651    41.52058     0.02798    10.13569     0.62845     8.11045     0.60270    -5.09220     0.15674     1.91800     0.57607     9.77884
   41     1    115.38748    47.87101     0.12740    11.04090     0.37320    15.40241     0.72048    23.90110     0.66185     5.62750    12.89708    20.75949
   42     4    260.74546    27.74955     0.02790    10.07863     0.57258     5.51431     0.53626   -47.01420     0.26489     1.18200     4.83364     5.80570
   45     4    115.71704    22.11273     0.02863    10.50470     0.53785    10.19816     0.64083    64.25160     0.08144     2.11700     0.54569    10.09277
   49     3    249.47181    39.24982     0.03088    10.35760     0.50811     5.95641     0.40931   -83.16110     0.36757     5.78640     3.89144    15.97361
   50     4     40.88047     0.30682     0.02665    10.80812     0.51399     8.41171     0.35863   -76.54690     0.24268     0.55600     1.90589    11.55400
   51     4    126.51450    25.59458     0.09512    11.03452     0.52264    17.13368     0.61489    -1.15710     0.21054     0.94250     8.19540    21.12613
   56     1    226.23181    31.12498     0.06844    11.18759     0.46017    15.04709     0.56788    12.14520     0.24776     1.75100     2.31087    21.16497
   60     2    230.50746    43.53234     0.02046     9.86168     0.56807     1.81686     0.68956    34.04880     0.30578     4.08700     0.34003     2.65531
   63     4    204.68383    26.32854     0.02817    10.39185     0.49610     5.76933     0.47080   -72.48040     0.21281     1.00000     1.30965     6.97652
   66     4    231.98023    45.67533     0.06421    10.60424     0.56908     5.49192     0.80881    21.59920     0.14685     1.33500     2.45668     6.29012
   67     3    240.47087    45.35194     0.04202    10.77729     0.52537     8.33800     0.72686   -48.93160     0.85532     8.00000    11.66883     4.24744
   68     1    192.26994    43.83317     0.07409    11.21907     0.48815    14.19738     0.81287    18.13750     0.52717     2.32810     6.12147    32.26110
   72     4    128.19586    22.57656     0.01539     9.50920     0.61324     3.22283     0.38300    20.78750     0.38203     0.96700     1.71809     4.80237
   75     4    154.00571    44.17624     0.04457    10.07939     0.74585     3.81674     0.87765   -62.59240     0.55613     1.00000     3.10661     5.30324
   78     4    130.33525    53.93865     0.03158    10.43128     0.54984     8.66871     0.52669   -71.69040     0.03733     1.00000     0.53609     8.91980
   81     4    215.39528    40.35809     0.06328    10.64719     0.52890     8.52522     0.40352   -27.38030     0.31652     1.02200     4.80443    10.94814
   91     4    171.15978    52.53343     0.02724    10.11847     0.52578     6.52393     0.18840   -42.55910     0.25803     1.11400     3.50011     7.86511
   94     4    117.21520    36.39036     0.02849     9.96678     0.51481     7.82247     0.15918   -36.09060     0.46265     1.00000     5.62174     9.61021
   96     4    356.09247     0.09637     0.02214     9.75540     0.68644     4.43715     0.80760   -83.43190     0.10451     0.53250     1.51828     4.97024
   98     2    221.91082    32.60236     0.08828    10.95756     0.46942    16.70569     0.61303    37.10530     0.14254     8.00000     0.00654    18.03855
  101     4    113.47227    37.02591     0.06174    11.05770     0.44256    19.05120     0.62104    40.49780     0.12023     1.37300     1.93201    21.69244
  109     4    311.40173     0.51049     0.01348     8.60532     0.58592     2.29875     0.58929   -79.99490     0.10368     0.26490     1.73119     2.48625
  112     4    198.24297    31.25866     0.02025    10.01253     0.73298     6.93429     0.80827    -0.43780     0.05404     0.26880     2.98465     7.96950
  114     3     50.50140    -0.80711     0.03590     9.48091     0.48561     5.26876     0.11532   -19.17730     0.15971     0.89850     1.08348     5.87624
  115     4    184.82729    43.23686     0.02377     9.91350     0.47639     5.95785     0.14516   -30.56900     0.25062     1.29540     4.38374     6.65593
  118     4    256.17961    34.55852     0.03282    10.50232     0.62951    11.60620     0.79255   -78.81520     0.14780     1.00000     2.97883    13.32503
  119     1    147.37898    42.13029     0.07178    10.86909     0.38148    16.48288     0.53216   -66.45040     0.61937     7.00880     5.89742    34.13474
  120     3    236.76127    54.34090     0.06685    10.75464     0.49520     8.50356     0.60320     8.40930     0.31559     2.55770     1.43404    13.17029
  121     3    124.70675    22.95453     0.09186    10.82281     0.40342     6.65707     0.66910     7.53860     0.33314     1.65710     1.99433     9.98661
  124     4    213.41682    43.86657     0.03502    10.79771     0.59995     8.19647     0.81336    37.63670     0.42059     1.32400     4.48594    12.66805
  127     4    128.25074    26.01405     0.01762     9.84632     0.65557     6.63642     0.22512    55.38400     0.08479     0.10000     5.68317     6.68528
  130     4    136.15628    44.87473     0.03451     9.46490     0.72751     2.64852     0.26102    22.19740     0.59363     1.00000     2.40390     2.92032
  134     4    317.97960    11.37945     0.01769     9.45583     0.45372     6.65725     0.20313   -36.68520     0.30900     1.51600     5.04901     7.45626
  136     4    171.89808    47.37940     0.03271    10.35588     0.63116     6.97175     0.92608   -46.61770     0.08434     2.21530     2.52029     7.55449
  141     3    119.63381    52.59796     0.01898     8.93754     0.51098     2.80942     0.94884   -52.65850     0.36677     1.01640     1.87381     4.30124
  148     4    235.79840    47.75365     0.03815    10.77977     0.44209     8.87715     0.55110    -3.24300     0.13145     1.16920     0.89040    10.29229
  151     3    119.94424    18.40179     0.04126    10.88414     0.41681    10.28312     0.22342    -2.58480     0.17534     1.11790     1.12465    12.70704
  153     1    146.47823    43.04671     0.07278    11.27874     0.43744    22.52208     0.54556    57.65200     0.47515     2.62360     6.65105    45.20827
  154     4    175.40272    51.86272     0.03912     9.90431     0.63218     6.95174     0.78905   -16.75780     0.07657     1.00000     0.76177     7.35850
  159     3    218.46878    45.76115     0.03732     9.55052     0.48052     3.13870     0.52648    72.47030     0.39344     1.71400     5.37495     3.04207
  160     4    117.01332    28.02827     0.02708    10.06642     0.50369     7.18572     0.22970     3.11080     0.32720     0.74640     5.97494     8.96312
  162     4    144.23926    48.29412     0.02496     9.00914     0.72984     2.03378     0.96139    29.62520     0.31910     1.11200     1.63851     2.33277
  165     4    230.10841    43.04843     0.01900     9.22476     0.61290     4.08638     0.90700    52.39260     0.07081     0.54840     0.98050     4.39751
  169     3    319.38958    -0.13474     0.05743    10.48950     0.44950     6.38255     0.47036   -75.32060     0.23925     0.90730     0.61009     8.81911
  170     4    201.73343    28.56091     0.02351     9.62280     0.72922     5.24453     0.87616    18.78740     0.18509     2.25120     2.28449     6.09342
  173     4    231.10079    30.27741     0.03114    10.48365     0.46059     7.05621     0.21101   -27.75810     0.26063     3.17380     1.39814     9.51866
  175     1    117.95385    46.19286     0.13011    11.23751     0.30808    41.53555     0.61125    53.29360     0.49973     4.15700    11.78534    86.57900
  176     1    229.42945    27.89533     0.11942    11.13988     0.39115    17.88299     0.68914    89.42380     0.60893     3.87600     8.02137    38.54812
  181     2    122.14488    37.17499     0.02116     9.50322     0.47205     0.79421     0.72392    56.09370     0.68513     2.49260     0.62502     1.66083
  184     4    233.65289    43.03926     0.02006     9.45721     0.67996     3.60602     0.35201    52.53220     0.56439     1.00000     2.62926     5.21342
  185     1    246.56104    46.37084     0.11318    11.20727     0.42183    30.71934     0.55065    68.75880     0.41013     5.37550     5.49351    52.23806
  186     1    259.16392    59.25371     0.12802    11.33425     0.38370    28.59673     0.73517    63.82830     0.60806     7.96540    23.43090    36.49630
  187     3    247.04817    39.82190     0.02677    10.78276     0.49066    12.36564     0.69265    26.11630     0.35517     8.00000     8.44315    13.01332
  189     3    125.40230    45.58548     0.05134    10.38906     0.51581     5.80807     0.44352     2.60000     0.21645     4.18550     1.93385     6.90514
  191     4    156.02506    35.81880     0.05901    10.55664     0.52480     8.15074     0.42528    51.40660     0.32244     0.40200     2.62105    14.25446
  192     4    155.55139    46.89388     0.03999     9.83084     0.68934     6.47789     0.84812   -47.74790     0.13895     1.00000     1.92134     7.24776
  194     3    248.14056    39.13102     0.13018    11.08234     0.40222    12.02335     0.85640    -5.19860     0.25164     3.58610     3.18123    15.46611
  195     4    241.34176    42.48831     0.07770    10.91777     0.56874    12.15693     0.64314   -10.34750     0.22690     3.39490     4.84816    14.81148
  197     4    235.47582    28.13398     0.03320    10.90553     0.46728     9.70768     0.55619   -49.07850     0.33865     3.78640     4.59089    12.03639
  199     4    224.10949    48.00974     0.05174    10.41661     0.64035     8.03795     0.63028    70.54780     0.17179     0.98700     2.20521     9.77687
  201     4    256.95711    34.43981     0.03575     9.62007     0.73361     4.38107     0.65852     1.03020     0.32795     4.26310     6.13916     5.14540
  205     4    201.66218    27.03962     0.02326     9.62111     0.57208     6.30807     0.15417    32.77820     0.65701     0.55850     5.71564     8.23708
